Genes,F:\massdata\20240930TPP\m\20240930_tpp_m_01.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_02.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_03.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_04.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_05.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_06.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_07.raw,F:\massdata\20240930TPP\m\20240930_tpp_m_08.raw,
GTPBP3,580470,257876,154117,186125,83357.1,0,0,0
GTPBP6,133000000,127000000,119000000,1190000,32600000,0,0,0
H1-2,29400000,38100000,31500000,31500000,32200000,37100000,0,0
HAUS5,2670000,2380000,1430000,1040000,650479,0,0,0
HEATR5B,2500000,2230000,1040000,868607,258890,0,0,0
HECTD3,1920000,1590000,564877,752825,236698,0,0,0
HGFAC,318151,318151,318151,318151,901735,1240000,1610000,1920000
HMGCS2,2890000,2790000,1460000,971237,247503,0,0,0
HMMR,548455,736201,556060,665223,368072,368072,0,0
HNF4A,1280000,947761,407477,321187,479436,0,0,0
HPS6,2720000,2160000,1320000,1300000,294116,0,0,0
HSPA2,1520000,1440000,1520000,1190000,987525,0,0,0
HSPBAP1,813934,811205,318374,287177,408301,0,0,0
IDUA,3690000,3690000,5070000,3510000,3550000,1030000,0,0
IFIT5,1010000,1050000,733825,637733,365998,0,0,0
IFT27,1450000,1100000,1250000,1020000,520753,0,0,0
INO80,3540000,855124,534244,585300,20499.5,0,0,0
INPP5K,2600000,1890000,981241,915034,541141,0,0,0
INTS10,3930000,5710000,1240000,1420000,404661,0,0,0
INTS4,4030000,2430000,1260000,954177,659271,0,0,0
IP6K1,415320,329419,182273,163907,52638.7,0,0,0
IRAK4,10800000,14500000,9330000,9520000,4920000,0,0,0
IRF5,412926,456934,314208,178417,90251.9,0,0,0
ISG20,1700000,1530000,1000000,590504,235401,0,0,0
ITGB1BP1,892495,943367,468578,419892,255162,0,0,0
ITPR2,2250000,1860000,981990,685731,219639,0,0,0
ITPRIP,1720000,1200000,731450,777332,275515,0,0,0
JMY,668838,671213,153935,170242,235035,0,0,0
KAT2A,3320000,1860000,11100000,4130000,9910000,0,0,0
KCTD15,913984,913984,913984,1340000,1420000,791747,1310000,0
KDM1B,1850000,1720000,1710000,1640000,700451,0,0,0
KDM3A,1900000,1770000,1000000,1000000,1440000,1070000,0,0
KHNYN,2850000,2010000,1400000,921682,595811,0,0,0
KIAA0930,688026,688026,389070,403293,464955,676381,676381,676381
KIF23,3630000,3740000,1870000,1580000,1300000,0,0,0
KIFC1,2260000,1650000,786089,632753,245533,0,0,0
KNTC1,5970000,4310000,2120000,1880000,995574,0,0,0
KPRP,1990000,1470000,1470000,1760000,4980000,4980000,4980000,2330000
KRT77,549133,633926,1100000,1100000,6230000,6230000,6230000,536471
LENG9,9180000,9040000,6070000,5810000,1830000,0,0,0
LETMD1,2230000,1220000,584988,584988,418518,299863,0,0
LGALS8,1680000,750643,1100000,886660,736535,0,0,0
LMF2,13200000,11400000,3540000,4270000,2550000,0,0,0
LRP5,312786,328257,266492,148283,148283,89595,89595,0
LRRC8C,618306,439728,371860,274580,170803,0,0,0
LRRC8E,369890,359995,456038,327403,108206,108206,108206,0
MACC1,746229,812545,462709,626252,312775,0,0,0
MAML1,37609.2,37609.2,87057.1,87057.1,87057.1,101609,93684.1,102347
MB21D2,2170000,2170000,2170000,2840000,2840000,2480000,2440000,2800000
MBD4,63934,46642,91052.1,91052.1,91052.1,91052.1,78018.1,111547
MBNL3,227683,216520,122354,122354,122354,165776,173598,173598
MEAF6,2680000,2680000,2680000,2680000,2430000,2550000,2250000,2900000
MED23,4810000,3700000,2000000,1640000,706865,0,0,0
METAP1D,1200000,859473,1270000,1070000,248388,248388,0,0
METTL13,2630000,1980000,1010000,596481,136105,0,0,0
MFN2,1970000,1600000,771491,713944,515551,0,0,0
MFSD9,263410,246666,73611.2,117681,53534.9,0,0,0
MIB1,324858,300669,150180,219817,229128,0,0,0
MICAL1,3030000,2260000,3000000,2910000,6240000,0,0,0
MICU1,5210000,4320000,2550000,1630000,558307,0,0,0
MIGA2,1650000,1190000,805105,510601,422055,0,0,0
MMAA,1670000,1160000,477679,701645,116576,0,0,0
MOCS3,3020000,2520000,1220000,1220000,727013,0,0,0
MON1A,361782,239079,231629,164670,100101,0,0,0
MPG,516647,502372,344632,253326,96085.2,0,0,0
MRPS21,921450,855063,163187,197801,111653,0,0,0
MSL1,47306.2,49439.8,25494.5,25494.5,25494.5,35504.7,20559.6,20559.6
MTARC2,587595,450893,137202,186124,162846,0,0,0
MTHFR,49500000,46700000,33000000,27600000,17200000,0,0,0
MTMR10,3360000,2400000,2410000,1870000,878384,0,0,0
MTMR6,1800000,1450000,1530000,761738,180101,0,0,0
MTMR9,1220000,1460000,1110000,578057,496235,0,0,0
MTPAP,6650000,4410000,1840000,2090000,715014,0,0,0
MTUS1,546730,469080,262388,492491,386103,386103,386103,386103
MUL1,431369,432460,121539,178954,178954,203548,0,0
MX2,2200000,1360000,653665,460978,238104,0,0,0
MYO19,3780000,2100000,1090000,736895,274869,0,0,0
MYO5C,4410000,2990000,1960000,2010000,1230000,0,0,0
NANP,2150000,1870000,1560000,1830000,682428,0,0,0
NBAS,6900000,5210000,2620000,2030000,1140000,0,0,0
NBEAL1,5400000,4360000,3240000,1630000,998539,0,0,0
NBEAL2,8590000,6530000,2630000,2360000,891256,0,0,0
NCKIPSD,2040000,2050000,1880000,1330000,782460,0,0,0
NDUFAF1,1190000,1230000,456360,487498,559979,559979,0,0
NDUFC1,962462,962462,962462,962462,2130000,2710000,2080000,1220000
NEK7,1500000,984525,796633,650211,341932,0,0,0
NFAT5,1550000,2020000,844808,1050000,763814,0,0,0
NIPA1,601629,291733,291733,305033,126841,77272.5,0,0
NOL9,1170000,924748,532963,536950,324004,0,0,0
NRIP1,464285,464285,512511,635748,635748,635748,386858,568722
NSL1,914275,782824,354855,425970,277103,0,0,0
NSUN4,6080000,4420000,2260000,1840000,2600000,0,0,0
NTAQ1,1630000,1130000,1340000,524253,360955,0,0,0
NTSR1,2250000,1740000,1080000,784936,343148,0,0,0
OSBPL3,14800000,11400000,1310000,711217,314803,0,0,0
OSBPL5,9630000,7910000,2850000,1750000,6840000,0,0,0
OTULINL,5410000,4560000,2430000,1420000,1040000,0,0,0
OVCA2,6570000,5820000,5620000,2840000,2840000,1200000,0,0
OXNAD1,890692,914456,584229,370777,217754,0,0,0
PGS1,999428,771541,520714,401118,259144,0,0,0
PHKA1,2700000,1980000,1080000,752021,316153,0,0,0
PHKG2,1410000,790677,945614,653317,515729,0,0,0
PI4KA,8780000,7380000,3300000,3660000,3040000,0,0,0
PIBF1,980984,860670,362245,433675,340657,0,0,0
PIGW,3910000,3270000,1280000,1280000,663909,0,0,0
PIP4K2A,2400000,1930000,1440000,1640000,1090000,0,0,0
PISD,5440000,3670000,2530000,1580000,473856,0,0,0
PKN1,4940000,4200000,3270000,2010000,1650000,0,0,0
PLCD1,390102,335073,56515.6,69083.5,66315.7,0,0,0
PLCG1,1900000,1500000,1630000,938888,500992,0,0,0
PLEK2,1720000,2180000,1530000,1390000,490157,0,0,0
PLEKHF1,2470000,2700000,1780000,1720000,1280000,1280000,0,0
PLPP6,7060000,5180000,3190000,2620000,1230000,0,0,0
PODXL2,395047,447771,613542,613542,613542,613542,458824,988580
POGK,1590000,892888,938574,650567,332039,0,0,0
POLG,1520000,1190000,480738,397015,243863,0,0,0
POMGNT1,1230000,919981,798242,460340,189382,0,0,0
POP4,1350000,786240,759231,600822,233562,0,0,0
POP5,1250000,769844,726020,726020,1060000,1060000,747340,747340
PPTC7,1850000,1400000,788135,702356,362332,0,0,0
PRIM1,3940000,3320000,2190000,1430000,1290000,0,0,0
PRKAR1B,2130000,2310000,1400000,1270000,743490,0,0,0
PRKRA,2770000,2190000,1560000,1530000,475738,0,0,0
PRORP,4040000,3690000,775204,1060000,230701,0,0,0
PSRC1,297884,297884,297884,538944,538944,463555,198076,255120
PTDSS1,3930000,2860000,1220000,994518,427763,0,0,0
PTPMT1,3370000,2780000,1560000,1550000,681708,0,0,0
PTPN3,3330000,3310000,1990000,1740000,737015,0,0,0
PTPN9,2210000,1880000,1240000,715527,260297,0,0,0
PWP2,1380000,1080000,728393,534136,334662,0,0,0
PYROXD1,1410000,1250000,1100000,1080000,556657,0,0,0
QPCTL,22400000,16600000,9220000,7730000,2950000,0,0,0
QRSL1,10200000,7570000,4600000,4100000,4250000,0,0,0
R3HCC1L,515679,519022,487634,620054,620054,182244,0,0
RAB11FIP4,1700000,2210000,2210000,2040000,2040000,1720000,1570000,1570000
RASA4,3440000,2290000,1280000,1190000,461144,0,0,0
RBBP8,2600000,2600000,1340000,535386,810372,810372,810372,1020000
RBM12B,15000000,13200000,6320000,6780000,816255,816255,816255,816255
RBM28,710979,664689,406929,254371,229850,0,0,0
RCCD1,378682,378682,378682,378682,352197,412027,175694,128062
RHBDL2,682676,959687,669239,446374,288303,0,0,0
RHOF,7450000,5670000,2560000,2950000,1670000,0,0,0
RINT1,492942,320763,215632,161336,78780.7,0,0,0
RLIM,120095,120095,55990.5,55990.5,67598.6,67598.6,96261.7,102628
RMND1,1600000,1250000,929339,718828,325197,0,0,0
RNASE4,604315,722496,877637,877637,877637,877637,645519,1000000
RNASEH1,2670000,1660000,1030000,1120000,361822,0,0,0
RNF170,496959,446261,306184,343088,137160,0,0,0
RP9,200814,200814,200814,200814,422877,345413,676258,872777
RPL35A,1110000,1160000,264389,199193,253019,0,0,0
RPL36AL,7150000,6180000,4610000,4610000,4610000,1670000,1670000,3060000
RPL37A;RPL37AP8,2400000,1790000,538553,577172,435773,0,0,0
RPL39;RPL39P5,3290000,3290000,3230000,2170000,2670000,1950000,0,0
RPS29,2430000,2430000,550627,1390000,1390000,1390000,320852,1200000
RPS6KB1,880189,876814,464383,316460,286827,0,0,0
RPTOR,2970000,1890000,1070000,857416,515707,0,0,0
RRN3,2090000,1960000,988562,799259,42908.4,0,0,0
RTKN,6510000,4610000,973408,641332,405664,0,0,0
S100A7,116554,116554,116554,440489,440489,894137,692583,328156
SCML2,1910000,1490000,669878,532012,303190,303190,0,0
SEC11C,1300000,1540000,551548,678858,100658,100658,0,0
SEPTIN6,139810,113019,96654.8,96654.8,96654.8,139600,73701.3,73701.3
SGF29,2870000,2190000,2190000,2270000,1680000,1000000,0,0
SGPP1,1540000,1110000,785003,762110,352417,0,0,0
SGTB,444274,444274,444274,444274,743857,856116,711350,924446
SH3BP2,1210000,892454,617265,530969,308311,0,0,0
SIN3B,2910000,2680000,1000000,992422,389968,389968,389968,389968
SLC16A7,1110000,938853,285084,381484,219614,0,0,0
SLC18B1,553073,562307,325573,467583,219439,0,0,0
SLC25A44,776916,564092,657288,421788,246795,0,0,0
SLC25A46,1820000,1410000,847444,736486,241494,0,0,0
SLC30A5,2890000,2330000,1290000,808778,663159,0,0,0
SLC30A9,2270000,1930000,1090000,945140,365275,365275,0,0
SLC7A2,492288,348804,243097,338233,155054,0,0,0
SLCO4A1,550213,575822,309853,309885,221149,221149,0,0
SMAD5,2450000,2090000,1830000,1560000,904695,0,0,0
SMG1,2550000,2060000,1350000,1240000,709688,0,0,0
SMG5,310000000,189000000,159000000,91200000,49500000,0,0,0
SNX17,855412,653076,690216,620560,359075,0,0,0
SNX30,845966,578965,583883,394089,211975,0,0,0
SPAG5,444383,627687,405337,405337,367289,190389,0,0
SPATA20,784916,773218,565255,455871,233951,0,0,0
SPG7,3400000,2540000,1280000,1150000,937891,0,0,0
SPIN1,193617,218675,389915,306696,1050000,1050000,0,0
SPINDOC,378896,378896,378896,671945,671945,803149,690443,1010000
SPTBN2,5610000,4610000,3140000,2690000,1130000,0,0,0
SRGAP1,190340,140997,123062,117344,66758.5,0,0,0
SSBP3,111886,82519.7,167897,289968,289968,96840,0,0
ST7,1240000,1570000,833537,433632,271363,271363,0,0
STEAP2,427725,496043,397850,257160,166141,0,0,0
STEAP3,919433,880935,961573,580244,408269,0,0,0
STING1,2150000,1970000,935482,814212,449583,0,0,0
STK11IP,3360000,1770000,284513,477743,204074,0,0,0
STXBP6,2430000,2040000,1440000,1440000,809497,0,0,0
SYCE1,6960000,6960000,2980000,2980000,2980000,1090000,1030000,1160000
SYK,3580000,3190000,1410000,1000000,560522,0,0,0
TAPT1,658266,533439,425467,326392,180779,0,0,0
TARBP1,2400000,1390000,212559,478275,70271.5,70271.5,0,0
TBC1D9B,1730000,1300000,645194,733617,344804,0,0,0
TBCEL,1800000,1310000,967276,642590,359058,0,0,0
TCN2,367923,241175,250706,140726,82212.2,0,0,0
TDRD3,618038,825776,825776,881468,859913,287126,0,0
TECPR1,1760000,1820000,1820000,1550000,493658,0,0,0
TEX10,2000000,1570000,736457,667058,347476,0,0,0
TFB1M,2770000,2090000,1050000,527149,369846,0,0,0
TFE3,530002,437180,437180,437180,437180,420545,405490,538456
TFEB,475387,475387,475387,747289,388629,388629,354852,660753
TGFBRAP1,3400000,2550000,820941,817157,1160000,0,0,0
TLK1,3440000,2910000,2570000,1340000,476806,0,0,0
TM7SF2,941624,550862,501205,384454,166728,0,0,0
TMEM126B,1360000,1250000,606914,546164,71675.7,71675.7,71675.7,0
TMEM17,118553,118553,118553,99155.4,144010,97533,134304,134304
TNIP2,223298,162047,129953,34996.9,103604,0,0,0
TNS2,1510000,1320000,1220000,1030000,901654,0,0,0
TOMM7,16100000,2200000,2200000,22500000,3000000,4160000,4160000,0
TOP2B,2730000,2490000,1630000,1090000,574424,0,0,0
TPCN1,589357,510260,399303,309836,299867,0,0,0
TRADD,658310,1020000,599014,593334,168848,0,0,0
TREX1,1660000,1240000,1020000,813874,652370,0,0,0
TRIM14,3900000,2790000,1480000,993200,635913,0,0,0
TRIM22,1150000,1140000,759946,690158,218595,0,0,0
TRIM3,5970000,5830000,4340000,2560000,1550000,0,0,0
TRIM38,809849,609059,454421,247347,342948,0,0,0
TRIO,1570000,1390000,1020000,556213,1120000,0,0,0
TRNAU1AP,2380000,2050000,948024,1200000,209191,0,0,0
TRPM4,1500000,1090000,1140000,1130000,342072,0,0,0
TRRAP,6000000,4400000,2160000,1820000,880726,0,0,0
TSC2,918326,648393,197436,393349,175266,0,0,0
TSEN2,604441,728749,655674,251820,280243,0,0,0
TTC27,3480000,2560000,1030000,831697,512863,0,0,0
TTI1,2290000,1390000,861732,870696,461537,0,0,0
TVP23B;TVP23C,2880000,3220000,1890000,2790000,1510000,0,0,0
TXNDC15,401052,401052,401052,401052,639382,710540,887060,813435
UBALD1,1890000,815797,815797,815797,960943,809494,1150000,1150000
UBAP1,719143,719143,719143,719143,851741,1040000,789799,1370000
UBE2G2,8970000,7450000,4320000,3990000,2490000,0,0,0
UBXN2A,79103,79103,362263,83014.5,55213.6,55213.6,52795.6,0
UBXN6,2000000,1290000,507296,1050000,515653,515653,0,0
UGGT2,4350000,4260000,2480000,1950000,1020000,0,0,0
UGT1A7,4650000,3820000,3640000,1280000,1280000,520784,520784,520784
ULK3,594659,411786,228986,194012,107699,107699,107699,107699
UQCC4,669158,669158,424168,424168,424168,557861,868186,1310000
URB2,30200000,23400000,14200000,9750000,2610000,0,0,0
USP22,1040000,828775,409164,404330,348452,0,0,0
USP25,9600000,8240000,8230000,6590000,4510000,0,0,0
